termino,categoria
feminazi,MACHISTA
feminazi,MACHISTA
feminazi,MACHISTA
"a fregar",MACHISTA
ninata,NO_MACHISTA
"como una mujer",NO_MACHISTA
"como una nina",NO_MACHISTA
mojigata,NO_MACHISTA
"mucho feminismo pero",NO_MACHISTA
"mucho feminismo pero",NO_MACHISTA
"mucho feminismo pero",MACHISTA
"mujer al volante",MACHISTA
"mujer al volante",NO_MACHISTA
"mujer al volante",NO_MACHISTA
"odio a las mujeres",NO_MACHISTA
nenaza,MACHISTA
"a la cocina",NO_MACHISTA
"a fregar",NO_MACHISTA
ninata,NO_MACHISTA
"en tus dias",NO_MACHISTA
zorra,MACHISTA
"como una mujer",NO_MACHISTA
"como una mujer",MACHISTA
"loca del",NO_MACHISTA
"para ser chica",NO_MACHISTA
mojigata,NO_MACHISTA
"mujer al volante",MACHISTA
"las mujeres no deberian",MACHISTA
nenaza,MACHISTA
lagartona,NO_MACHISTA
feminazi,MACHISTA
feminazi,MACHISTA
feminazi,MACHISTA
"a la cocina",NO_MACHISTA
ninata,NO_MACHISTA
"las feministas",MACHISTA
"en tus dias",NO_MACHISTA
"en tus dias",NO_MACHISTA
zorra,NO_MACHISTA
zorra,NO_MACHISTA
zorra,NO_MACHISTA
"como una nina",NO_MACHISTA
"pareces una puta",MACHISTA
"pareces una puta",NO_MACHISTA
"loca del",NO_MACHISTA
"loca del",NO_MACHISTA
"loca del",NO_MACHISTA
"para ser mujer",NO_MACHISTA
"para ser mujer",NO_MACHISTA
"para ser mujer",MACHISTA
"para ser mujer",NO_MACHISTA
"para ser mujer",MACHISTA
mojigata,NO_MACHISTA
"mujer al volante",NO_MACHISTA
"A las mujeres hay que",NO_MACHISTA
"A las mujeres hay que",MACHISTA
nenaza,MACHISTA
feminazi,MACHISTA
feminazi,MACHISTA
"a la cocina",MACHISTA
"a la cocina",NO_MACHISTA
"a fregar",NO_MACHISTA
"a fregar",NO_MACHISTA
marimacho,NO_MACHISTA
"en tus dias",NO_MACHISTA
"en tus dias",MACHISTA
"en tus dias",NO_MACHISTA
"como una mujer",NO_MACHISTA
"como una mujer",NO_MACHISTA
"como una mujer",NO_MACHISTA
"como una mujer",NO_MACHISTA
"pareces una puta",NO_MACHISTA
mojigata,NO_MACHISTA
"mujer al volante",MACHISTA
"A las mujeres hay que",NO_MACHISTA
"odio a las mujeres",MACHISTA
"las mujeres de hoy en dia",NO_MACHISTA
"las mujeres de hoy en dia",MACHISTA
feminazi,MACHISTA
"a la cocina",NO_MACHISTA
"a la cocina",NO_MACHISTA
"a fregar",DUDOSO
marimacho,NO_MACHISTA
ninata,NO_MACHISTA
"mujer tenias que ser",MACHISTA
"las feministas",MACHISTA
"las feministas",DUDOSO
"las feministas",NO_MACHISTA
"en tus dias",DUDOSO
"como una nina",NO_MACHISTA
"loca del",NO_MACHISTA
"mucho feminismo pero",NO_MACHISTA
"las mujeres no deberian",NO_MACHISTA
"las mujeres de hoy en dia",MACHISTA
lagartona,NO_MACHISTA
feminazi,NO_MACHISTA
"a la cocina",NO_MACHISTA
"a fregar",NO_MACHISTA
"a fregar",NO_MACHISTA
"a fregar",NO_MACHISTA
"las feministas",MACHISTA
"las feministas",DUDOSO
"las feministas",MACHISTA
"en tus dias",NO_MACHISTA
"en tus dias",NO_MACHISTA
zorra,NO_MACHISTA
zorra,NO_MACHISTA
zorra,DUDOSO
"como una mujer",NO_MACHISTA
"como una nina",NO_MACHISTA
"pareces una puta",NO_MACHISTA
"pareces una puta",DUDOSO
"loca del",NO_MACHISTA
"mujer al volante",MACHISTA
"las mujeres no deberian",MACHISTA
"las mujeres no deberian",MACHISTA
"A las mujeres hay que",MACHISTA
"odio a las mujeres",NO_MACHISTA
feminazi,MACHISTA
feminazi,NO_MACHISTA
feminazi,NO_MACHISTA
"a fregar",NO_MACHISTA
"a fregar",NO_MACHISTA
"a fregar",NO_MACHISTA
marimacho,NO_MACHISTA
ninata,NO_MACHISTA
"mujer tenias que ser",MACHISTA
"las feministas",NO_MACHISTA
zorra,MACHISTA
zorra,DUDOSO
"como una nina",NO_MACHISTA
"pareces una puta",MACHISTA
"pareces una puta",MACHISTA
"pareces una puta",MACHISTA
"loca del",NO_MACHISTA
"loca del",NO_MACHISTA
"las mujeres no deberian",MACHISTA
"A las mujeres hay que",NO_MACHISTA
"A las mujeres hay que",NO_MACHISTA
"A las mujeres hay que",NO_MACHISTA
"odio a las mujeres",NO_MACHISTA
lagartona,DUDOSO
lagartona,DUDOSO
"a la cocina",NO_MACHISTA
"a fregar",NO_MACHISTA
ninata,NO_MACHISTA
"las feministas",MACHISTA
"las feministas",MACHISTA
"las feministas",NO_MACHISTA
"en tus dias",NO_MACHISTA
zorra,NO_MACHISTA
"como una mujer",NO_MACHISTA
"como una nina",NO_MACHISTA
"como una nina",NO_MACHISTA
"como una nina",MACHISTA
"como una nina",NO_MACHISTA
"loca del",NO_MACHISTA
"para ser mujer",NO_MACHISTA
mojigata,MACHISTA
"mujer al volante",NO_MACHISTA
"las mujeres no deberian",MACHISTA
"las mujeres no deberian",MACHISTA
"A las mujeres hay que",MACHISTA
"A las mujeres hay que",NO_MACHISTA
"odio a las mujeres",NO_MACHISTA
"a fregar",DUDOSO
"a fregar",DUDOSO
"a fregar",MACHISTA
"mujer tenias que ser",MACHISTA
"mujer tenias que ser",MACHISTA
"en tus dias",DUDOSO
"como una mujer",NO_MACHISTA
"como una mujer",NO_MACHISTA
"como una nina",NO_MACHISTA
"pareces una puta",MACHISTA
"loca del",NO_MACHISTA
mojigata,NO_MACHISTA
"mujer al volante",NO_MACHISTA
"mujer al volante",NO_MACHISTA
"mujer al volante",NO_MACHISTA
"mujer al volante",NO_MACHISTA
"mujer al volante",NO_MACHISTA
"A las mujeres hay que",MACHISTA
feminazi,NO_MACHISTA
"a la cocina",MACHISTA
"a la cocina",NO_MACHISTA
"a fregar",NO_MACHISTA
marimacho,NO_MACHISTA
marimacho,NO_MACHISTA
ninata,NO_MACHISTA
zorra,MACHISTA
zorra,NO_MACHISTA
"como una nina",MACHISTA
"pareces una puta",MACHISTA
"pareces una puta",NO_MACHISTA
"loca del",NO_MACHISTA
"loca del",NO_MACHISTA
"para ser mujer",NO_MACHISTA
"para ser chica",NO_MACHISTA
"para ser chica",NO_MACHISTA
"para ser chica",NO_MACHISTA
"mujer al volante",NO_MACHISTA
"mujer al volante",NO_MACHISTA
"mujer al volante",NO_MACHISTA
"mujer al volante",NO_MACHISTA
"mujer al volante",NO_MACHISTA
"mujer al volante",NO_MACHISTA
"A las mujeres hay que",MACHISTA
"odio a las mujeres",NO_MACHISTA
"las mujeres de hoy en dia",MACHISTA
nenaza,MACHISTA
lagartona,NO_MACHISTA
lagartona,DUDOSO
lagartona,NO_MACHISTA
"a la cocina",NO_MACHISTA
"a la cocina",NO_MACHISTA
"a fregar",NO_MACHISTA
"mujer tenias que ser",NO_MACHISTA
zorra,MACHISTA
"como una mujer",NO_MACHISTA
"como una mujer",NO_MACHISTA
"como una nina",NO_MACHISTA
"pareces una puta",MACHISTA
"loca del",MACHISTA
"loca del",NO_MACHISTA
"loca del",DUDOSO
"para ser mujer",NO_MACHISTA
"para ser mujer",NO_MACHISTA
"para ser mujer",NO_MACHISTA
mojigata,NO_MACHISTA
"A las mujeres hay que",NO_MACHISTA
"A las mujeres hay que",NO_MACHISTA
"las mujeres de hoy en dia",MACHISTA
lagartona,DUDOSO
lagartona,NO_MACHISTA
feminazi,MACHISTA
marimacho,NO_MACHISTA
marimacho,NO_MACHISTA
marimacho,NO_MACHISTA
ninata,NO_MACHISTA
"mujer tenias que ser",NO_MACHISTA
"las feministas",NO_MACHISTA
"las feministas",NO_MACHISTA
"en tus dias",NO_MACHISTA
"en tus dias",NO_MACHISTA
zorra,NO_MACHISTA
"como una mujer",NO_MACHISTA
"loca del",NO_MACHISTA
"para ser mujer",NO_MACHISTA
